observed_on,latitude,longitude
2017-03-13,33.7293722949,-117.3793351651
2017-03-13,33.7362098694,-117.3934631348
2017-03-13,33.7340583333,-117.3942194444
2017-03-17,33.73245753,-117.37431941
2017-03-18,33.7426866667,-117.389275
2017-03-19,33.7391083333,-117.3917083333
2017-03-25,33.731315,-117.3918716667
2017-03-19,33.7292116667,-117.38008
2017-03-23,33.7413637625,-117.3912763596
2017-03-16,33.7301883333,-117.3778216667
2017-03-25,33.730575,-117.391708
2019-02-18,33.7290458679,-117.3783950806
2019-02-25,33.7275867462,-117.3742313579
2019-02-26,33.7352033333,-117.39467
2019-02-27,33.7297733333,-117.376555
2019-03-03,33.7327272167,-117.3937255085
2019-03-04,33.7317619366,-117.3761288253
2019-03-04,33.731846887,-117.3762533024
2019-03-04,33.7345439382,-117.4026577269
2019-03-04,33.7287533333,-117.3768533333
2019-03-04,33.728725,-117.3779666667
2019-03-04,33.7287783333,-117.37742
2019-03-04,33.731695,-117.3766333333
2019-03-04,33.7312383333,-117.377
2019-03-03,33.7354466667,-117.394355
2019-03-03,33.7392313844,-117.3906502531
2019-03-04,33.7450578326,-117.3958692435
2019-03-05,33.7284166667,-117.3793527778
2019-03-05,33.7284027778,-117.3791555556
2019-03-09,33.7328945161,-117.3914222047
2019-03-09,33.7355166667,-117.3797616667
2019-03-09,33.728855,-117.37738
2019-03-09,33.7390823364,-117.3916549683
2018-03-09,33.7309651931,-117.3895866308
2019-03-10,33.7385667329,-117.3919828743
2019-03-10,33.748562027,-117.3934927595
2019-03-10,33.7472748772,-117.3942954417
2019-03-10,33.729637146,-117.3884735107
2019-03-10,33.7285783333,-117.377455
2019-02-27,33.730705,-117.3759
2019-03-07,33.7342833333,-117.3941883333
2019-03-12,33.73827,-117.3919833333
2019-03-12,33.729905,-117.3866883333
2019-03-09,33.7309216667,-117.377525
2019-03-14,33.7296966667,-117.37648
2019-03-11,33.74155,-117.391395
2019-03-15,33.7298866667,-117.38668
2019-03-15,33.7301966667,-117.3878466667
2019-03-15,33.7153366667,-117.3613216667
2019-03-15,33.7299116667,-117.386845
2019-03-16,33.7380626612,-117.3992597033
2019-03-16,33.732475,-117.39373
2019-03-16,33.7367666667,-117.3927916667
2019-03-16,33.7368087769,-117.3926925659
2019-03-14,33.7215003967,-117.3652572632
2019-03-16,33.7360646734,-117.3940724719
2019-03-16,33.7354083333,-117.39428
2019-03-17,33.7311131414,-117.3776188028
2019-03-17,33.7421836853,-117.3808670044
2019-03-16,33.7394068419,-117.3879063115
2019-03-16,33.7401915062,-117.3861121343
2019-03-18,33.7373266667,-117.37738
2019-03-16,33.7319366667,-117.3910616667
2019-03-16,33.7419201068,-117.3868653293
2019-03-19,33.7326275418,-117.3938066048
2019-03-10,33.7423279202,-117.3919933399
2019-03-14,33.7313065788,-117.3778294399
2019-03-22,33.7333077751,-117.4029913266
2019-03-09,33.7408848364,-117.3296412054
2019-03-16,33.7473633333,-117.4338833333
2019-03-20,33.7415632373,-117.3913786189
2019-03-23,33.743865945,-117.4341085531
2019-03-25,33.7355466667,-117.3942333333
2019-03-09,33.7320304,-117.3939019
2019-03-08,33.7322027546,-117.3915742021
2019-03-26,33.7402877808,-117.3909378052
2019-03-25,33.7300533333,-117.3872083333
2019-03-09,33.730575,-117.391708
2019-04-01,33.7423966667,-117.3919833333
2019-04-03,33.7327083333,-117.3787833333
2019-03-03,33.7424337818,-117.3915965484
2019-03-24,33.7172224215,-117.3614970524
2019-03-24,33.7247435185,-117.3680153736
2019-03-22,33.7348866667,-117.4031366667
2019-04-05,33.7321666667,-117.3938916667
2019-03-16,33.7472633333,-117.433425
2019-04-13,33.7371364638,-117.3932391531
2019-04-04,33.74142,-117.3913633333
2019-03-23,33.7332471652,-117.34534667
2019-03-14,33.7282860931,-117.3787721527
2019-03-27,33.7287934231,-117.3774489015
2019-03-08,33.739155,-117.3887466667
2019-03-15,33.73985,-117.3911283333
2019-03-16,33.7287416667,-117.3768383333
2019-03-16,33.7292033333,-117.3832166667
2019-03-09,33.7315437304,-117.3924302014
2019-03-17,33.7426490784,-117.3817443848
2020-02-12,33.74116333,-117.39098333
2019-03-25,33.75015,-117.3987194444
2019-03-15,33.7393305556,-117.3915416667
2019-03-15,33.7415454185,-117.3911156629
2019-03-16,33.73505,-117.394232
2017-03-12,33.7305751,-117.3917085
2020-05-28,33.72990833,-117.38663667
2017-03-19,33.7376329547,-117.3903267054
